latitude,longitude
37.7636,-122.5094
37.7644,-122.4663
37.7623,-122.507
37.7693,-122.4269
37.7605,-122.5092
37.7592,-122.4368
37.7498,-122.4935
37.764,-122.502
37.764,-122.5019
37.7634,-122.4797
37.7418,-122.503
37.7318,-122.4512
37.7639,-122.5097
37.7591,-122.4215
37.7743,-122.4238
37.7642,-122.4674
37.7906,-122.4325
37.753,-122.5085
37.7541,-122.4829
37.7568,-122.5023
37.7633,-122.4307
37.7632,-122.4844
37.7731,-122.4392
37.7644,-122.4027
37.7636,-122.4642
37.7362,-122.5057
37.7622,-122.5094
37.7642,-122.4674
37.7419,-122.5069
37.8005,-122.4109
37.7567,-122.5088
37.7626,-122.4961
37.7605,-122.5056
37.7475,-122.5017
37.7636,-122.4641
37.7478,-122.4976
37.7778,-122.4382
37.7642,-122.4675
37.7689,-122.4483
37.7639,-122.5097
37.7602,-122.509
37.7322,-122.4836
37.7636,-122.4801
37.7694,-122.4827
37.7264,-122.4761
37.7853,-122.4111
37.8023,-122.4244
37.7819,-122.4828
37.7654,-122.4665
37.7629,-122.4662
37.7627,-122.4986
37.7642,-122.4674
37.757,-122.5015
37.7539,-122.4893
37.7527,-122.5084
37.7731,-122.4392
37.7786,-122.4587
37.7697,-122.4292
37.7662,-122.4311
37.7635,-122.4837
37.772,-122.4536
37.7791,-122.437
37.7777,-122.4331
37.7565,-122.509
37.7641,-122.4706
37.7753,-122.5042
37.7533,-122.5075
37.7542,-122.4745
37.7633,-122.4794
37.7633,-122.4794
37.7527,-122.5085
37.7786,-122.4586
37.7299,-122.4099
37.7526,-122.5055
37.7424,-122.4904
37.772,-122.4537
37.7887,-122.4082
37.7693,-122.4269
37.756,-122.4776
37.7614,-122.4823
37.7772,-122.4299
37.7659,-122.4566
37.7745,-122.4095
37.776,-122.4376
37.7531,-122.5046
37.8004,-122.4109
37.7751,-122.465
37.772,-122.4537
37.7532,-122.5054
37.7873,-122.4133
37.7419,-122.5069
37.753,-122.5051
37.7712,-122.4534
37.7531,-122.5052
37.7542,-122.4829
37.7425,-122.4902
37.7592,-122.4215
37.7625,-122.4823
37.7399,-122.4666
37.7595,-122.4823
37.7729,-122.509
37.7588,-122.4463
37.7729,-122.5091
37.7596,-122.509
37.7326,-122.4897
37.782,-122.4357
37.7631,-122.4855
37.7603,-122.5058
37.7614,-122.4265
37.7606,-122.5044
37.7632,-122.4852
37.7715,-122.4509
37.7632,-122.4855
37.7632,-122.4855
37.7977,-122.4234
37.79,-122.4223
37.7597,-122.5095
37.791,-122.418
37.7531,-122.4905
37.7659,-122.4493
37.7419,-122.5069
37.7391,-122.4795
37.7433,-122.4738
37.7542,-122.4813
37.7605,-122.5044
37.7503,-122.4441
37.7647,-122.3948
37.7791,-122.437
37.7731,-122.4392
37.7638,-122.5051
37.773,-122.509
37.7604,-122.4665
37.7873,-122.4132
37.7573,-122.4898
37.7604,-122.435
37.7626,-122.5071
37.7558,-122.4872
37.77,-122.5112
37.7606,-122.464
37.7613,-122.4865
37.7614,-122.4865
37.7534,-122.4978
37.7797,-122.4962
37.7863,-122.4669
37.7898,-122.4755
37.7815,-122.4588
37.7914,-122.3989
37.7626,-122.5006
37.7774,-122.4419
37.7611,-122.4931
37.776,-122.4377
37.7609,-122.4922
37.776,-122.4377
37.7705,-122.5114
37.7778,-122.4391
37.7641,-122.4707
37.764,-122.4668
37.7557,-122.4166
37.7625,-122.5037
37.7575,-122.4858
37.7604,-122.5042
37.7604,-122.5041
37.7641,-122.4707
37.7671,-122.4469
37.7792,-122.4371
37.764,-122.4656
37.7702,-122.5113
37.7659,-122.4492
37.7705,-122.4507
37.7626,-122.4985
37.7631,-122.4853
37.7398,-122.5055
37.7705,-122.4666
37.7379,-122.4898
37.7539,-122.4838
37.7605,-122.4661
37.7641,-122.4707
37.7825,-122.472
37.7643,-122.5008
37.7636,-122.4641
37.7529,-122.5051
37.7568,-122.5023
37.7597,-122.5094
37.7528,-122.5059
37.7807,-122.4505
37.7906,-122.4326
37.7473,-122.4114
37.7605,-122.5056
37.8026,-122.4361
37.7634,-122.4789
37.7553,-122.4917
37.7528,-122.5089
37.765,-122.4223
37.7534,-122.4916
37.7741,-122.4238
37.7716,-122.4222
37.7636,-122.4642
37.7801,-122.4892
37.7812,-122.4472
37.7636,-122.4641
37.7588,-122.4975
37.7763,-122.4531
37.7606,-122.5044
37.7639,-122.5097
37.7623,-122.4619
37.7732,-122.5106
37.7789,-122.4631
37.7751,-122.465
37.771,-122.4521
37.7771,-122.4296
37.7697,-122.5113
37.7906,-122.4325
37.772,-122.4536
37.7729,-122.5091
37.7631,-122.4836
37.7861,-122.4054
37.7369,-122.4701
37.7638,-122.5098
37.7643,-122.4673
37.7659,-122.4493
37.7708,-122.4864
37.7601,-122.4735
37.7732,-122.4391
37.7609,-122.505
37.7644,-122.453
37.7642,-122.4655
37.7632,-122.4854
37.7641,-122.4707
37.7731,-122.4392
37.7634,-122.422
37.754,-122.4841
37.7892,-122.4234
37.7697,-122.4535
37.7653,-122.4807
37.7426,-122.4903
37.7462,-122.49
37.7418,-122.5048
37.7426,-122.49
37.7776,-122.4384
37.7534,-122.4972
37.8024,-122.4461
37.7642,-122.4707
37.7717,-122.4539
37.7439,-122.5017
37.7532,-122.5053
37.7458,-122.4964
37.7456,-122.5008
37.7774,-122.464
37.7401,-122.5046
37.7858,-122.4087
37.7719,-122.4537
37.7425,-122.4898
37.7633,-122.422
37.7663,-122.4311
37.742,-122.5046
37.7604,-122.5051
37.7854,-122.3968
37.7704,-122.4827
37.7415,-122.5056
37.7702,-122.4155
37.7795,-122.4632
37.7625,-122.4826
37.7637,-122.4641
37.7632,-122.4856
37.7633,-122.4663
37.7318,-122.4511
37.7743,-122.4238
37.7729,-122.509
37.7623,-122.5067
37.7724,-122.4356
37.7526,-122.5076
37.7749,-122.4467
