latitude,longitude
37.7654,-122.4664
37.7636,-122.5094
37.7654,-122.4665
37.7786,-122.4768
37.7758,-122.4919
37.7804,-122.4801
37.7644,-122.4663
37.7623,-122.507
37.7644,-122.4663
37.7735,-122.4713
37.7641,-122.4706
37.7605,-122.5092
37.7498,-122.4935
37.7844,-122.4873
37.764,-122.466
37.7837,-122.4926
37.7757,-122.5026
37.764,-122.502
37.764,-122.5019
37.7752,-122.5107
37.7634,-122.4797
37.7418,-122.503
37.7417,-122.5035
37.7871,-122.4659
37.7851,-122.4776
37.7864,-122.4708
37.7656,-122.4665
37.7705,-122.469
37.7851,-122.4776
37.7808,-122.4762
37.7641,-122.4674
37.785,-122.4775
37.7566,-122.5092
37.7739,-122.4939
37.7568,-122.5026
37.7641,-122.4657
37.7639,-122.5097
37.7736,-122.4713
37.744,-122.4982
37.7727,-122.4895
37.7625,-122.5071
37.7642,-122.4674
37.7625,-122.5071
37.7736,-122.4713
37.7796,-122.4869
37.7727,-122.5098
37.7817,-122.4929
37.782,-122.4828
37.753,-122.5085
37.7642,-122.4625
37.7748,-122.479
37.7808,-122.4762
37.7541,-122.4829
37.7641,-122.4674
37.7734,-122.468
37.7568,-122.5023
37.7639,-122.5097
37.7566,-122.5088
37.7632,-122.4844
37.7603,-122.5093
37.7751,-122.465
37.7801,-122.487
37.7824,-122.4656
37.7699,-122.4819
37.7608,-122.4888
37.7636,-122.4642
37.7622,-122.5094
37.7524,-122.4733
37.7642,-122.4674
37.7751,-122.465
37.7527,-122.5089
37.7821,-122.4858
37.7599,-122.5091
37.7777,-122.4899
37.7667,-122.5058
37.7412,-122.4665
37.7581,-122.467
37.7785,-122.4794
37.7723,-122.4918
37.7729,-122.509
37.7875,-122.4863
37.7735,-122.4713
37.7419,-122.5069
37.7672,-122.4666
37.7804,-122.4728
37.7827,-122.4602
37.7824,-122.4719
37.7827,-122.4741
37.7828,-122.4741
37.773,-122.5091
37.7839,-122.4612
37.7567,-122.5088
37.7825,-122.472
37.7626,-122.4961
37.7819,-122.4827
37.7909,-122.4841
37.7819,-122.4828
37.7728,-122.4842
37.7848,-122.4644
37.7804,-122.4728
37.7804,-122.4814
37.7642,-122.5101
37.7605,-122.5056
37.7624,-122.4631
37.7801,-122.5063
37.7475,-122.5017
37.7808,-122.4762
37.782,-122.4828
37.7636,-122.4641
37.782,-122.4828
37.7808,-122.4785
37.7478,-122.4976
37.7548,-122.5087
37.7637,-122.4777
37.773,-122.5091
37.7642,-122.4675
37.7904,-122.4822
37.7735,-122.4713
37.7839,-122.4612
37.7663,-122.5108
37.7887,-122.4893
37.7729,-122.509
37.7839,-122.4612
37.798,-122.469
37.7709,-122.4771
37.7638,-122.5093
37.7819,-122.4827
37.7709,-122.4771
37.773,-122.509
37.7847,-122.4698
37.7797,-122.5036
37.7704,-122.4691
37.7639,-122.5097
37.7716,-122.5113
37.7764,-122.4921
37.74,-122.5057
37.7602,-122.509
37.7716,-122.4721
37.7439,-122.498
37.766,-122.4662
37.7605,-122.5071
37.7706,-122.5112
37.7418,-122.5069
37.7751,-122.465
37.7636,-122.4801
37.7694,-122.4827
37.7817,-122.4928
37.7819,-122.4828
37.782,-122.4828
37.7637,-122.4733
37.7634,-122.4838
37.7531,-122.5046
37.7604,-122.509
37.7636,-122.4775
37.7748,-122.4842
37.7654,-122.4665
37.7629,-122.4662
37.7626,-122.5006
37.7627,-122.4986
37.7642,-122.4674
37.757,-122.5015
37.7539,-122.4893
37.7823,-122.4655
37.7636,-122.4777
37.7735,-122.4658
37.7527,-122.5084
37.7729,-122.509
37.7636,-122.5084
37.7817,-122.4928
37.7806,-122.478
37.7436,-122.5071
37.7729,-122.509
37.7415,-122.5056
37.7639,-122.5097
37.77,-122.5113
37.785,-122.4776
37.789,-122.4854
37.7825,-122.472
37.773,-122.5091
37.7817,-122.4929
37.7635,-122.4641
37.7604,-122.5095
37.7741,-122.4638
37.7719,-122.4961
37.782,-122.4828
37.7819,-122.4828
37.7623,-122.507
37.7646,-122.4763
37.7742,-122.4906
37.7735,-122.4713
37.7653,-122.5107
37.7604,-122.4661
37.7635,-122.4837
37.7734,-122.4767
37.7565,-122.509
37.7641,-122.4706
37.7898,-122.4854
37.782,-122.4828
37.7789,-122.4751
37.7536,-122.4991
37.7753,-122.5042
37.7533,-122.5075
37.7728,-122.509
37.7639,-122.5098
37.7542,-122.4745
37.7642,-122.4673
37.7735,-122.4713
37.7641,-122.4707
37.7601,-122.5097
37.7633,-122.4794
37.7633,-122.4794
37.7527,-122.5085
37.7792,-122.5073
37.7526,-122.5055
37.7666,-122.5063
37.7728,-122.5097
37.7424,-122.4904
37.7817,-122.4928
37.7468,-122.4746
37.775,-122.511
37.7735,-122.4713
37.7898,-122.4854
37.7898,-122.4854
37.7648,-122.5106
37.7705,-122.4929
37.7436,-122.5071
37.7735,-122.4896
37.7706,-122.5112
37.7708,-122.4864
37.756,-122.4776
37.7818,-122.493
37.7636,-122.4789
37.7614,-122.4823
37.7597,-122.4781
37.7752,-122.465
37.7642,-122.4674
37.7736,-122.4713
37.7819,-122.4828
37.7851,-122.4776
37.7621,-122.5095
37.7831,-122.4611
37.7418,-122.5071
37.7563,-122.5088
37.7728,-122.5099
37.7531,-122.5046
37.7751,-122.465
37.7636,-122.4641
37.7532,-122.5054
37.7532,-122.5054
37.7762,-122.4671
37.7822,-122.4665
37.7642,-122.4664
37.7754,-122.5056
37.764,-122.5052
37.7804,-122.4728
37.7736,-122.4897
37.7431,-122.4766
37.7419,-122.5069
37.7605,-122.508
37.753,-122.5051
37.7758,-122.4974
37.7539,-122.4827
37.7727,-122.4897
37.7736,-122.4713
37.7908,-122.4841
37.7803,-122.4847
37.7732,-122.5097
37.7651,-122.4814
37.7531,-122.5052
37.7774,-122.46
37.7542,-122.4829
37.7425,-122.4902
37.7625,-122.4823
37.7732,-122.4809
37.7819,-122.4828
37.7595,-122.4823
37.7729,-122.509
37.7636,-122.4641
37.7823,-122.4655
37.7751,-122.4649
37.7817,-122.4927
37.7809,-122.4869
37.7765,-122.4847
37.7957,-122.4797
37.7803,-122.4728
37.7807,-122.4699
37.7703,-122.4801
37.7412,-122.4772
37.7632,-122.4853
37.7717,-122.5089
37.7737,-122.466
37.7819,-122.4828
37.7634,-122.4808
37.77,-122.5113
37.7819,-122.4828
37.7736,-122.4713
37.7729,-122.5091
37.7643,-122.5008
37.7738,-122.4659
37.7596,-122.509
37.7758,-122.4979
37.7422,-122.4895
37.7604,-122.4973
37.7751,-122.465
37.7631,-122.4855
37.7603,-122.5058
37.7593,-122.4635
37.7606,-122.5044
37.7632,-122.4852
37.7633,-122.4813
37.7464,-122.4642
37.7612,-122.4896
37.7817,-122.4928
37.7607,-122.5039
37.7632,-122.4855
37.7632,-122.4855
37.7817,-122.4928
37.7532,-122.5054
37.7731,-122.4744
37.7847,-122.471
37.781,-122.4708
37.7897,-122.4855
37.7851,-122.4776
37.7626,-122.5071
37.7715,-122.509
37.7597,-122.5094
37.7817,-122.4928
37.7597,-122.5095
37.7747,-122.4806
37.7495,-122.5008
37.7642,-122.4674
37.7531,-122.4905
37.7518,-122.487
37.7419,-122.5069
37.7433,-122.4738
37.7732,-122.5091
37.7542,-122.4813
37.7605,-122.5044
37.7605,-122.5082
37.7529,-122.505
37.773,-122.5091
37.783,-122.4611
37.7804,-122.4729
37.7674,-122.4662
37.7751,-122.465
37.7638,-122.5093
37.7655,-122.5107
37.7642,-122.4674
37.7865,-122.4938
37.7585,-122.4662
37.7638,-122.5051
37.7638,-122.5051
37.7817,-122.4676
